Time,S_0,S_1,S_2,S_3,S_4,S_5,S_6,S_7,S_8,S_9,S_10,S_11,S_12,S_13,S_14,S_15,S_16,S_17,S_18,S_19,S_20,S_21,S_22,S_23,Total
2026-02-01 09:11:19,1000.0,1000.0,882.64,1000.0,884.71,954.15,957.76,946.94,966.92,1000.0,1000.0,1000.0,126.22,0.0,850.13,0.0,441.9,375.93,475.2,472.03,482.28,541.94,713.4,908.62,16980.76
2026-02-01 09:33:17,1000.0,1000.0,919.42,1000.0,897.58,972.49,975.9,962.7,1000.54,1016.18,1000.0,1000.0,162.9,0.0,906.12,0.0,499.57,428.74,509.59,514.15,522.99,582.23,767.76,956.53,17595.38
2026-02-01 10:04:12,1000.0,1000.0,1024.03,1000.0,998.25,1065.79,1072.45,1055.89,1085.6,1093.67,1000.0,1000.0,350.45,0.0,874.62,0.0,619.4,549.31,623.1,622.75,623.47,681.85,840.38,1025.9,19206.92
2026-02-01 10:30:51,1000.0,1000.0,981.05,1000.0,962.6,1046.2,1043.79,1031.34,1089.12,1071.77,954.6,1000.0,195.6,0.0,880.52,0.0,538.99,450.33,531.44,513.96,520.4,589.69,781.93,966.82,18150.16
2026-02-01 10:56:40,1000.0,1000.0,1042.02,1000.0,1052.04,1140.5,1127.95,1125.59,1183.81,1158.06,1046.79,1000.0,293.06,0.0,901.7,0.0,611.2,530.41,578.14,558.42,570.22,644.39,835.25,1012.87,19412.43
2026-02-01 11:20:39,1000.0,1000.0,1096.99,1000.0,1111.45,1195.26,1183.12,1177.83,1219.32,1207.65,1100.87,1000.0,380.45,0.0,918.72,0.0,677.03,593.49,625.68,606.3,614.95,688.17,880.96,1064.24,20342.48
2026-02-01 11:45:54,1000.0,1000.0,1096.49,1000.0,1118.52,1199.45,1198.99,1178.09,1225.95,1218.81,1111.44,1008.56,284.94,0.0,955.04,0.0,642.55,544.75,604.05,581.77,591.0,669.24,872.26,1062.11,20164.02
2026-02-01 11:57:54,1000.0,1000.0,1127.47,1000.0,1161.27,1250.63,1242.46,1235.06,1269.22,1264.87,1148.72,1044.05,325.39,0.0,970.64,0.0,687.63,587.26,636.19,613.64,618.56,696.88,897.0,1080.18,20857.12
2026-02-01 12:47:45,1000.0,1000.0,1089.77,1000.0,1143.22,1239.69,1231.7,1217.81,1271.48,1255.69,1138.7,1031.43,254.52,0.0,962.8,0.0,631.41,537.61,597.5,562.36,571.6,662.52,872.02,1056.14,20327.97
2026-02-01 13:33:27,1000.0,1000.0,1055.18,1000.0,1138.68,1241.21,1228.16,1213.34,1278.57,1277.79,1160.25,987.6,245.03,0.0,964.83,0.0,618.63,524.27,582.12,532.46,540.83,635.99,855.55,1038.12,20118.64
2026-02-01 14:05:12,1000.0,1000.0,1072.23,1000.0,1133.5,1238.0,1222.84,1212.56,1284.33,1279.7,1168.14,1008.27,248.65,0.0,994.73,0.0,642.59,553.67,596.9,545.75,552.94,652.07,870.51,1061.28,20338.67
2026-02-01 14:46:53,1000.0,1000.0,1091.95,1000.0,1157.2,1268.3,1243.74,1249.49,1315.02,1306.37,1185.1,1019.33,254.11,0.0,1000.19,0.0,692.6,601.38,623.13,575.2,583.41,681.54,907.29,1084.27,20839.64
2026-02-01 15:02:53,1000.0,1000.0,1087.57,1000.0,1163.65,1272.8,1246.94,1250.59,1312.87,1306.37,1182.27,1014.98,251.19,0.0,991.84,0.0,678.07,584.94,616.71,568.17,577.4,673.93,886.05,1059.02,20725.36
2026-02-01 15:36:35,1000.0,1000.0,1113.99,1000.0,1198.94,1305.65,1281.63,1280.39,1343.8,1331.37,1210.08,1040.24,255.66,0.0,1007.7,0.0,717.75,626.9,650.4,603.67,621.08,713.35,944.47,1089.53,21336.61
2026-02-01 15:58:50,1000.0,1000.0,1125.3,1000.0,1214.23,1321.23,1292.65,1301.42,1375.42,1357.56,1223.74,1038.22,256.91,0.0,1007.41,0.0,737.84,643.1,651.01,602.14,622.73,715.46,972.43,1108.89,21567.69
